,home_team,away_team,game_time,home_ml_open,away_ml_open,home_ml_close,away_ml_close,home_pct,away_pct,home_diff_open,away_diff_open,home_diff_close,away_diff_close,favorite_ml_open,favorite_ml_close,favorite_pct,favorite_diff_open,favorite_diff_close
401625444,Houston Cougars,Texas Tech Red Raiders,19:00:00,-350,+280,-600,+450,89.0,11.0,11.222222222222214,-15.315789473684209,3.285714285714292,-7.181818181818183,home,home,home,home,home
401625411,North Carolina Tar Heels,Pittsburgh Panthers,19:00:00,-290,+240,-320,+260,73.5,26.5,-0.8589743589743648,-2.911764705882355,-2.69047619047619,-1.2777777777777786,home,home,home,home,away
401625455,Kentucky Wildcats,Texas A&M Aggies,19:00:00,-175,+150,-250,+210,64.7,35.3,1.0636363636363697,-4.700000000000003,-6.728571428571428,3.041935483870965,home,home,home,home,away
401625505,Akron Zips,Ohio Bobcats,19:30:00,-150,+130,-155,+130,57.6,42.4,-2.3999999999999986,-1.07826086956522,-3.184313725490192,-1.07826086956522,home,home,home,away,away
401625481,Arizona Wildcats,Oregon Ducks,20:00:00,-650,+475,-800,+550,90.8,9.2,4.133333333333326,-8.191304347826087,1.9111111111111114,-6.184615384615386,home,home,home,home,home
401625564,Marquette Golden Eagles,Providence Friars,20:00:00,-210,+180,-200,+170,73.7,26.3,5.958064516129042,-9.414285714285715,7.033333333333346,-10.737037037037037,home,home,home,home,home
401625571,North Carolina Central Eagles,Delaware State Hornets,20:00:00,-175,+150,-210,+180,70.5,29.5,6.863636363636367,-10.5,2.758064516129039,-6.214285714285715,home,home,home,home,home
401625687,Nebraska Cornhuskers,Indiana Hoosiers,21:00:00,-155,+135,-240,+200,72.1,27.9,11.315686274509801,-14.653191489361703,1.5117647058823422,-5.43333333333333,home,home,home,home,home
401625625,Fairfield Stags,Marist Red Foxes,21:00:00,-175,+150,-200,+170,61.1,38.9,-2.5363636363636317,-1.1000000000000014,-5.566666666666656,1.8629629629629605,home,home,home,away,away
401625537,UC Irvine Anteaters,Long Beach State Beach,21:00:00,-290,+240,-360,+290,82.3,17.7,7.941025641025632,-11.711764705882356,4.0391304347826065,-7.9410256410256395,home,home,home,home,home
401625512,Grand Canyon Lopes,Seattle U Redhawks,21:00:00,-190,+160,-250,+210,74.1,25.9,8.582758620689646,-12.561538461538468,2.6714285714285637,-6.3580645161290334,home,home,home,home,home
401625469,Charlotte 49ers,Temple Owls,21:00:00,-340,+270,-270,+220,77.6,22.4,0.32727272727272805,-4.6270270270270295,4.627027027027026,-8.850000000000001,home,home,home,home,home
401625445,Iowa State Cyclones,Baylor Bears,21:30:00,-120,EVEN,-125,+105,59.6,40.4,5.054545454545462,-9.600000000000001,4.044444444444444,-8.380487804878051,away,home,home,home,home
401625529,Utah State Aggies,San Diego State Aztecs,21:30:00,+140,-165,+180,-215,36.7,63.3,-4.966666666666669,1.035849056603773,0.9857142857142875,-4.953968253968256,away,away,away,away,home
401625456,Alabama Crimson Tide,Florida Gators,21:30:00,-190,+160,-190,+160,73.9,26.1,8.382758620689657,-12.361538461538466,8.382758620689657,-12.361538461538466,home,home,home,home,home
401625676,Texas Southern Tigers,Alabama A&M Bulldogs,21:30:00,-210,+180,-290,+240,74.9,25.1,7.158064516129045,-10.614285714285714,0.5410256410256409,-4.311764705882354,home,home,home,home,home
401625412,Virginia Cavaliers,NC State Wolfpack,21:30:00,-190,+160,-140,+120,55.1,44.9,-10.417241379310347,6.438461538461532,-3.2333333333333343,-0.5545454545454547,home,home,home,away,away
401625482,Washington State Cougars,Colorado Buffaloes,22:30:00,+110,-130,+120,-140,51.2,48.8,3.5809523809523895,-7.721739130434784,5.74545454545455,-9.533333333333339,away,away,home,home,home
401625536,UC Davis Aggies,Hawai'i Rainbow Warriors,23:30:00,EVEN,-120,-135,+115,53.7,46.3,3.700000000000003,-8.245454545454542,-3.746808510638303,-0.21162790697674438,home,home,home,home,away
401625511,Tarleton State Texans,UT Arlington Mavericks,23:30:00,+105,-125,EVEN,-120,45.5,54.5,-3.2804878048780495,-1.0555555555555571,-4.5,-0.04545454545453964,away,home,away,away,away
401625530,New Mexico Lobos,Colorado State Rams,23:59:00,-140,+120,-150,+125,55.9,44.1,-2.433333333333337,-1.3545454545454518,-4.100000000000001,-0.34444444444444144,home,home,home,away,away
